mechanism,tau,eta,d,date,alpha,shift,n_exact_donors,miss_rate
B,0.25,0.05,89,2024-06-25,0.749647979095648,-0.006651960439047418,2705,0.7922365988909427
B,0.5,0.05,75,2024-06-11,0.5,0.01782720644377589,3099,0.4920942239432075
B,0.5,0.05,76,2024-06-12,0.5003952888028397,0.01747115878259304,3182,0.4569453174104337
B,0.5,0.05,77,2024-06-13,0.502548022932318,0.015730720765476977,3178,0.41095028319697924
B,0.5,0.05,78,2024-06-14,0.507000508772469,0.012614868098723524,3164,0.44848293299620734
B,0.5,0.05,79,2024-06-15,0.5095763621226587,0.010504515646859724,2665,0.5189493433395872
B,0.5,0.05,80,2024-06-16,0.5086288949556793,0.011125991732299024,2378,0.45374264087468463
B,0.5,0.05,81,2024-06-17,0.510941762911945,0.009030466213363631,2586,0.46558391337973704
B,0.5,0.05,82,2024-06-18,0.5126625672429582,0.007659419590247384,2677,0.519985057900635
B,0.5,0.05,83,2024-06-19,0.5116633143479264,0.008459588628624906,2723,0.5736320235034889
B,0.5,0.05,84,2024-06-20,0.507981713172752,0.011875189263879711,2986,0.5720026791694575
B,0.5,0.05,85,2024-06-21,0.5043815792142791,0.014468975811853085,3140,0.5856687898089172
B,0.5,0.05,86,2024-06-22,0.5000981397238332,0.01775923948466861,2974,0.539340954942838
B,0.5,0.05,87,2024-06-23,0.4981310919766913,0.019181411067986376,2527,0.5227542540561931
B,0.5,0.05,88,2024-06-24,0.49699337927388165,0.020169578947496117,2789,0.44030118321979206
B,0.5,0.05,89,2024-06-25,0.49997832011289206,0.01784666391690261,2705,0.5826247689463956
B,0.75,0.05,75,2024-06-11,0.25,0.07904613334915361,3099,0.24491771539206195
B,0.75,0.05,76,2024-06-12,0.2502541142303969,0.07883358844346906,3182,0.21370207416719045
B,0.75,0.05,77,2024-06-13,0.2520690105220374,0.07669957421204132,3178,0.17400881057268722
B,0.75,0.05,78,2024-06-14,0.255868569993403,0.07252703242974175,3164,0.1972187104930468
B,0.75,0.05,79,2024-06-15,0.2585076344687507,0.07002215691613889,2665,0.25065666041275797
B,0.75,0.05,80,2024-06-16,0.2584748014481128,0.07006972884378053,2378,0.20857863751051303
B,0.75,0.05,81,2024-06-17,0.26054586957258713,0.06770902842965537,2586,0.21925754060324826
B,0.75,0.05,82,2024-06-18,0.26208299254242473,0.06582139715551484,2677,0.2629809488233097
B,0.75,0.05,83,2024-06-19,0.2614339451012592,0.06663433820578195,2723,0.3143591626882115
B,0.75,0.05,84,2024-06-20,0.25821598696684867,0.07040965845672384,2986,0.29671801741460146
B,0.75,0.05,85,2024-06-21,0.25588008609611856,0.0725192802008674,3140,0.32802547770700635
B,0.75,0.05,86,2024-06-22,0.25197881221076823,0.07680989342593922,2974,0.2925353059852051
B,0.75,0.05,87,2024-06-23,0.24985204691150797,0.07918852527826745,2527,0.2845271072417887
B,0.75,0.05,88,2024-06-24,0.24812569154941855,0.08131619764421955,2789,0.2205091430620294
B,0.75,0.05,89,2024-06-25,0.24960023439631707,0.07959290893911317,2705,0.3242144177449168
B,0.9,0.05,75,2024-06-11,0.09999999999999998,0.14528277825233607,3099,0.09293320425943853
B,0.9,0.05,76,2024-06-12,0.10035333978702805,0.14407501204391074,3182,0.07071024512884978
B,0.9,0.05,77,2024-06-13,0.10181782753058556,0.1405486222380883,3178,0.05034612964128383
B,0.9,0.05,78,2024-06-14,0.10430052104852137,0.13356365491722758,3164,0.07269279393173199
B,0.9,0.05,79,2024-06-15,0.10566588135193478,0.13010900747451629,2665,0.10956848030018762
