scenario,beta,policy,train_mech,test_hist,population,unsupported order share,pool fallback share,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
excess stock more costly,0.25,seasonal_naive + residual quantile,C,A,full sample,0.0,0.062012499394409185,20641,0.745478749395678,0.4293210133910179,6370.883985398337,3005.514293625951,0.7344462138291414,0.1457179015395672,0.4192141853592365,0.9992522975053321,0.6000000238418579
excess stock more costly,0.25,seasonal_naive + residual quantile,C,B,full sample,0.0,0.062012499394409185,20641,0.73075675151667,0.4272545799612999,7278.478365744464,2601.6905807703733,0.6966154944877283,0.13470387110501694,0.3732377307301003,0.9357176774190133,0.5576701760292053
excess stock more costly,0.25,seasonal_naive + residual quantile,C,C,full sample,0.0,0.062012499394409185,20641,0.7541815250798727,0.4598625898361206,10085.124397920561,1827.3121537510306,0.579627729211513,0.11614426605714487,0.2751320187975389,0.7622268359289964,0.4207743704319
equal costs,0.5,Kaplan-Meier order percentile,A,A,full sample,0.0,1.0,20641,0.6519663876804116,0.30000001192092896,9610.827040351927,3846.4111677594483,0.5993975852255068,0.2110337609117639,0.4705682864202316,0.8830250710715308,0.6000000238418579
equal costs,0.5,Kaplan-Meier order percentile,A,B,full sample,0.0,1.0,20641,0.6519663876804116,0.30000001192092896,9610.827040351927,3846.4111677594483,0.5993975852255068,0.2110337609117639,0.4705682864202316,0.8830250710715308,0.6000000238418579
equal costs,0.5,Kaplan-Meier order percentile,A,C,full sample,0.0,1.0,20641,0.6519663876804116,0.30000001192092896,9610.827040351927,3846.4111677594483,0.5993975852255068,0.2110337609117639,0.4705682864202316,0.8830250710715308,0.6000000238418579
equal costs,0.5,Kaplan-Meier order percentile,B,A,full sample,0.0,1.0,20641,0.6609984082779629,0.30000001192092896,9012.057195104659,4631.610950160772,0.624355754266849,0.23618027504183192,0.47715711448088755,0.9500746145843738,0.6000000238418579
equal costs,0.5,Kaplan-Meier order percentile,B,B,full sample,0.0,1.0,20641,0.6609984082779629,0.30000001192092896,9012.057195104659,4631.610950160772,0.624355754266849,0.23618027504183192,0.47715711448088755,0.9500746145843738,0.6000000238418579
equal costs,0.5,Kaplan-Meier order percentile,B,C,full sample,0.0,1.0,20641,0.6609984082779629,0.30000001192092896,9012.057195104659,4631.610950160772,0.624355754266849,0.23618027504183192,0.47715711448088755,0.9500746145843738,0.6000000238418579
equal costs,0.5,Kaplan-Meier order percentile,C,A,full sample,0.18119277166803938,1.0,16901,0.8271328591914154,0.30000001937150955,3933.8000045642257,10045.572448629886,0.760149038218609,0.4462162234509903,0.5901425951127153,1.332038974440681,0.6000000238418579
