scenario,beta,policy,train_mech,test_hist,matched mean cost,unseen mean cost,cost transfer gap,fill-rate change,leftover-share change
shortage more costly,0.75,demand-quantile + adaptive calibration (sensitivity),B,A,0.7111509861200319,0.7043020631384335,-0.006848922981598449,0.006927131754691951,0.00854128543351848
shortage more costly,0.75,demand-quantile + adaptive calibration (sensitivity),B,C,0.7111509861200319,0.7538749387004172,0.042723952580385305,-0.023025677077599394,-0.018187827433444687
shortage more costly,0.75,demand-quantile + adaptive calibration (sensitivity),C,A,0.7526442926198563,0.7243183453635322,-0.02832594725632409,0.03212630899566382,0.03950933445607066
shortage more costly,0.75,demand-quantile + adaptive calibration (sensitivity),C,B,0.7526442926198563,0.7267559676614171,-0.02588832495843918,0.02437139509249464,0.028249992330721868
shortage more costly,0.75,demand-quantile LightGBM (uncalibrated),A,B,0.7152393614481377,0.7338966893246153,0.01865732787647756,-0.009509576449951429,-0.007735282071190341
shortage more costly,0.75,demand-quantile LightGBM (uncalibrated),A,C,0.7152393614481377,0.788623826480349,0.0733844650322113,-0.034190101851655386,-0.024896739575040572
shortage more costly,0.75,demand-quantile LightGBM (uncalibrated),B,A,0.7314924787885011,0.718486963228986,-0.013005515559515124,0.00825136337122201,0.008516559555113545
shortage more costly,0.75,demand-quantile LightGBM (uncalibrated),B,C,0.7314924787885011,0.7886229617215523,0.05713048293305123,-0.026124401474326042,-0.01812969858135771
shortage more costly,0.75,demand-quantile LightGBM (uncalibrated),C,A,0.7812377980405665,0.7251531417046148,-0.05608465633595172,0.03809697523339284,0.040276596615051646
shortage more costly,0.75,demand-quantile LightGBM (uncalibrated),C,B,0.7812377980405665,0.7362122589847799,-0.045025539055786545,0.028487649841948404,0.02897335176810298
shortage more costly,0.75,demand-quantile LightGBM + pooled conformal,A,B,0.6830891953877534,0.6931999102496537,0.010110714861900294,-0.007670837186488977,-0.008285651237353225
shortage more costly,0.75,demand-quantile LightGBM + pooled conformal,A,C,0.6830891953877534,0.7303355234530229,0.047246328065269516,-0.02863137566013818,-0.026533769554412834
shortage more costly,0.75,demand-quantile LightGBM + pooled conformal,B,A,0.694032252042602,0.6908420521848426,-0.003190199857759368,0.006138607887052117,0.009140848402236418
shortage more costly,0.75,demand-quantile LightGBM + pooled conformal,B,C,0.694032252042602,0.7305635287301926,0.0365312766875906,-0.0215931513379497,-0.0190434636168742
shortage more costly,0.75,demand-quantile LightGBM + pooled conformal,C,A,0.7247903656652501,0.7120269850319837,-0.01276338063326643,0.0287118390542771,0.041619430171610794
shortage more costly,0.75,demand-quantile LightGBM + pooled conformal,C,B,0.7247903656652501,0.7086270035400053,-0.01616336212524483,0.022251488903403005,0.029575567848816042
shortage more costly,0.75,raw-sales LightGBM + residual quantile,A,B,0.7365871249846502,0.7535322829743488,0.016945157989698645,-0.010071279763370411,-0.00878402202333775
shortage more costly,0.75,raw-sales LightGBM + residual quantile,A,C,0.7365871249846502,0.8161388317692561,0.07955170678460588,-0.0424450252101638,-0.03450786891250504
shortage more costly,0.75,raw-sales LightGBM + residual quantile,B,A,0.7476587516113233,0.73491098833926,-0.012747763272063284,0.009872287356926135,0.010113133227861448
shortage more costly,0.75,raw-sales LightGBM + residual quantile,B,C,0.7476587516113233,0.8159777475340939,0.06831899592277058,-0.03525002547369016,-0.025811489409575755
shortage more costly,0.75,raw-sales LightGBM + residual quantile,C,A,0.8545710547495506,0.8030117549270003,-0.051559299822550364,0.03708121950087673,0.03356970546411639
shortage more costly,0.75,raw-sales LightGBM + residual quantile,C,B,0.8545710547495506,0.8083395833059944,-0.046231471443556216,0.028857135429892322,0.023442649225817097
shortage more costly,0.75,raw-sales quantile LightGBM,A,B,0.750312612052841,0.7938016344290098,0.043489022376168696,-0.017125593345855727,-0.009424399587431465
shortage more costly,0.75,raw-sales quantile LightGBM,A,C,0.750312612052841,0.9760967245530562,0.22578411250021513,-0.08178590309398948,-0.03508542409964871
shortage more costly,0.75,raw-sales quantile LightGBM,B,A,0.8336541814214571,0.7848299322159382,-0.048824249205518866,0.01835241477974925,0.008805126724086648
shortage more costly,0.75,raw-sales quantile LightGBM,B,C,0.8336541814214571,1.0129587139986098,0.17930453257715273,-0.0630070863811476,-0.02464195581370382
shortage more costly,0.75,raw-sales quantile LightGBM,C,A,1.1739667173059742,0.9071212240883858,-0.26684549321758844,0.0899708494288316,0.030990851361214017
shortage more costly,0.75,raw-sales quantile LightGBM,C,B,1.1739667173059742,0.9649942463401846,-0.20897247096578964,0.06969076315839962,0.02282580810076873
shortage more costly,0.75,seasonal_naive + residual quantile,A,B,0.785299454231607,0.81774493680812,0.03244548257651303,-0.02065093623174863,-0.015590052016526745
shortage more costly,0.75,seasonal_naive + residual quantile,A,C,0.785299454231607,0.9995627906439676,0.21426333641236062,-0.09712915230745545,-0.0473125686242821
shortage more costly,0.75,seasonal_naive + residual quantile,B,A,0.8070817789011692,0.7903064891014122,-0.016775289799756954,0.017280408712651463,0.016588785429359654
shortage more costly,0.75,seasonal_naive + residual quantile,B,C,0.8070817789011692,0.9639890039320079,0.15690722503083876,-0.07112014793568244,-0.03203881452570234
shortage more costly,0.75,seasonal_naive + residual quantile,C,A,0.9224549762155291,0.8255814080006159,-0.09687356821491322,0.07187959376104669,0.04978124512159382
shortage more costly,0.75,seasonal_naive + residual quantile,C,B,0.9224549762155291,0.822708723484657,-0.09974625273087212,0.058825300256511115,0.03338614046612781
