scenario,date,mechanism,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
equal costs,2024-06-30,B,2507,0.4960102210134137,0.2600363940000534,888.1258391179144,355.3717849627137,0.7514577883587368,0.11687608420888401,0.464698843238931,1.212838450908114,0.7922796607017517
equal costs,2024-06-30,C,2507,0.5077713730908101,0.2752804234623909,920.5250103697181,352.4578219689429,0.7423908731496657,0.11727980723625465,0.4559234144395692,1.1987526374874622,0.7814050316810608
equal costs,2024-07-01,A,2767,0.3683357891886834,0.20701947063207626,688.1835255585611,331.0016031265259,0.7755909659541986,0.12216487977381174,0.4824719913263462,0.9792071278151468,0.5962502956390381
equal costs,2024-07-01,B,2767,0.37896092797730174,0.20565063506364822,712.4622418954968,336.12264581769705,0.7676739451614942,0.12493833037631548,0.48283339356704014,0.9722835016330852,0.6027172803878784
equal costs,2024-07-01,C,2767,0.39262426596297806,0.21934182196855545,782.9086531642824,303.4826907552779,0.7447021498224671,0.11730059540927681,0.45175280086736536,0.9350278578559963,0.582554042339325
equal costs,2024-07-02,A,2624,0.3995496039442071,0.21293343603610992,747.9666495416313,300.451511207968,0.7492821242916886,0.11848462011876142,0.4759908536585366,0.9663814425705535,0.5964570939540863
equal costs,2024-07-02,B,2624,0.40731442594480494,0.2113363780081272,767.902218285948,300.8908353932202,0.7425997361803002,0.11957723296499992,0.47522865853658536,0.95895147132091,0.6043089628219604
equal costs,2024-07-02,C,2624,0.4259420840304612,0.21672828868031502,829.4816480567679,288.19038043916225,0.7219583562084385,0.11801365468829976,0.43940548780487804,0.9306435884227096,0.5857088565826416
shortage more costly,2024-06-26,A,2968,0.6780656352513683,0.36735860258340836,389.9046653956175,842.7848092392087,0.8826005284607271,0.22330990741775306,0.7045148247978437,1.271583286445397,0.828479677438736
shortage more costly,2024-06-26,B,2968,0.6895968918801559,0.36855586245656013,401.9807021468878,840.7814686596394,0.8789644592912302,0.22361329305391295,0.6994609164420486,1.2668395609296155,0.8159087598323822
shortage more costly,2024-06-26,C,2968,0.722058717839199,0.3764640726149082,437.0175063870847,832.0177553854883,0.8684149515082175,0.2238906383060339,0.6964285714285714,1.2520819741660212,0.8158328831195831
shortage more costly,2024-06-27,A,3169,0.6603035217744107,0.3515332415699959,420.74268674850464,830.2738002575934,0.8784671954316473,0.21445795663432798,0.6718207636478384,1.2216784998506505,0.8046056032180786
shortage more costly,2024-06-27,B,3169,0.6677297819011988,0.3505353555083275,426.30513928830624,837.1202609799802,0.8768604640998096,0.21615469374964283,0.6803408015146734,1.222083677566834,0.8003782033920288
shortage more costly,2024-06-27,C,3169,0.6995778148138644,0.3601117953658104,466.10728150978684,818.6402506157756,0.8653634942786884,0.21461267043187945,0.6730829914799621,1.203692338789401,0.790110170841217
shortage more costly,2024-06-28,A,3385,0.5916393462199845,0.35709793865680695,335.138933788985,997.2823855876923,0.9059788569845423,0.23595104904028324,0.7296898079763663,1.248640918480769,0.8259920477867126
shortage more costly,2024-06-28,B,3385,0.5955184279914885,0.35723333805799484,336.6425525173545,1005.902221199125,0.9055570261041297,0.23759043043782951,0.7317577548005908,1.2507431982098864,0.8228673338890076
shortage more costly,2024-06-28,C,3385,0.6159645299274513,0.3674827441573143,366.59296192601323,985.2610480263829,0.897154625062429,0.23552953194418627,0.723781388478582,1.2357973835625007,0.8253346085548401
shortage more costly,2024-06-29,A,3221,0.6680730542029812,0.40925179421901703,308.86289094388485,1225.2746347561479,0.9231683407721833,0.24821184358815448,0.7572182552002483,1.5325696395443522,1.0218837261199951
shortage more costly,2024-06-29,B,3221,0.6748756886810037,0.4152124971151352,311.99685771763325,1237.784020088613,0.9223887460903617,0.250270627201981,0.7606333436820863,1.5354803562654689,1.0264934301376343
shortage more costly,2024-06-29,C,3221,0.6915260264473612,0.41080182045698166,338.2576966136694,1212.632241345942,0.9158561910821156,0.2477606592879709,0.7522508537721204,1.5195186618728247,1.015338659286499
shortage more costly,2024-06-30,A,2507,0.8618162386089646,0.4284151792526245,444.53792429342866,826.9595373123884,0.8755959639998312,0.20905191152482977,0.6952532907857998,1.5778865830078987,1.0476958751678467
shortage more costly,2024-06-30,B,2507,0.8925276893229303,0.42808055505156517,471.09554370865226,824.2802860066295,0.8681638083585288,0.20992616358907032,0.69206222576785,1.566224488583893,1.047019600868225
shortage more costly,2024-06-30,C,2507,0.9154035027477315,0.43461140990257263,491.70811568945646,819.7922343201935,0.8623953755508401,0.21012640481120803,0.6836856800957319,1.5562122733197365,1.0361802577972412
shortage more costly,2024-07-01,A,2767,0.6451740419976131,0.3445452079176903,334.4080337174237,781.9724730551243,0.8909532398893543,0.2225171290918722,0.7264185037947235,1.270044266148987,0.8270995616912842
shortage more costly,2024-07-01,B,2767,0.6545268011221849,0.3416977971792221,339.6640450954437,792.0835234187543,0.889239312728256,0.22508335465214416,0.7350921575713769,1.2717988881170426,0.8312150835990906
shortage more costly,2024-07-01,C,2767,0.6984019933782052,0.35609593987464905,383.8435527421534,780.9476574510336,0.8748328640595374,0.22546291526514178,0.7137694253704373,1.2518077881479677,0.819511890411377
shortage more costly,2024-07-02,A,2624,0.7219173159782503,0.34260188415646553,389.0962183177471,727.0223821736872,0.8695752312452092,0.2189017961297174,0.7217987804878049,1.2657112071245182,0.8234930634498596
shortage more costly,2024-07-02,B,2624,0.7334273676203404,0.3487161472439766,395.57984985411167,737.7738630734384,0.8674019226803569,0.2218539111660528,0.7282774390243902,1.2673376741075162,0.8311236202716827
shortage more costly,2024-07-02,C,2624,0.7852612065347252,0.3462141789495945,442.76064782589674,732.2434624694288,0.8515869535918847,0.2237372579168714,0.727515243902439,1.2472495648941797,0.8287880718708038
